Gene.38069	Gene.38069
Gene.38073	Gene.38073
Gene.38074	Gene.38074
Gene.38075	Gene.38075
Gene.38079	Gene.38079
Gene.38080	Gene.38080
Gene.38081	Gene.38081
Gene.38082	Gene.38082
Gene.38084	Gene.38084
Gene.38087	Gene.38087
Gene.38089	Gene.38089
Gene.38091	Gene.38091
Gene.38093	Gene.38093
Gene.38094	Gene.38094
Gene.38098	Gene.38098
Gene.38099	Gene.38099
Gene.38100	Gene.38100
Gene.38109	Gene.38109
Gene.38110	Gene.38110
Gene.38111	Gene.38111
Gene.38117	Gene.38117
Gene.38118	Gene.38118
Gene.38119	Gene.38119
Gene.38122	Gene.38122
Gene.38123	Gene.38123
Gene.38125	Gene.38125
Gene.38131	Gene.38131
Gene.38132	Gene.38132
Gene.38138	Gene.38138
Gene.38139	Gene.38139
Gene.38141	Gene.38141
Gene.38145	Gene.38145
Gene.38147	Gene.38147
Gene.38148	Gene.38148
Gene.38149	Gene.38149
Gene.38150	Gene.38150
Gene.38153	Gene.38153
Gene.38156	Gene.38156
Gene.38161	Gene.38161
Gene.38162	Gene.38162
Gene.38169	Gene.38169
Gene.38171	Gene.38171
Gene.38174	Gene.38174
Gene.38177	Gene.38177
Gene.38183	Gene.38183
Gene.38193	Gene.38193
Gene.38196	Gene.38196
Gene.38202	Gene.38202
Gene.38203	Gene.38203
Gene.38204	Gene.38204
Gene.38206	Gene.38206
Gene.38208	Gene.38208
Gene.38209	Gene.38209
Gene.38211	Gene.38211
Gene.38213	Gene.38213
Gene.38214	Gene.38214
Gene.38215	Gene.38215
Gene.38217	Gene.38217
Gene.38218	Gene.38218
Gene.38220	Gene.38220
Gene.38221	Gene.38221
Gene.38222	Gene.38222
Gene.38226	Gene.38226
Gene.38230	Gene.38230
Gene.38231	Gene.38231
Gene.38232	Gene.38232
Gene.38234	Gene.38234
Gene.38240	Gene.38240
Gene.38243	Gene.38243
Gene.38244	Gene.38244
Gene.38246	Gene.38246
Gene.38249	Gene.38249
Gene.38250	Gene.38250
Gene.38252	Gene.38252
Gene.38253	Gene.38253
Gene.38256	Gene.38256
Gene.38260	Gene.38260
Gene.38270	Gene.38270
Gene.38271	Gene.38271
Gene.38275	Gene.38275
